SUMLEV,COUNTY,COUSUB,TRACT,BLKGRP,BLOCK,NAME,geoid20,Neighborhood,NeighborhoodGroup
750,003,61000,562700,2,2000,Block 2000,420035627002000,Allegheny Center,Allegheny Center
750,003,61000,562700,2,2001,Block 2001,420035627002001,Allegheny Center,Allegheny Center
750,003,61000,562700,2,2002,Block 2002,420035627002002,Allegheny Center,Allegheny Center
750,003,61000,562700,2,2003,Block 2003,420035627002003,Allegheny Center,Allegheny Center
750,003,61000,562700,2,2004,Block 2004,420035627002004,Allegheny Center,Allegheny Center
750,003,61000,562700,2,2005,Block 2005,420035627002005,Allegheny Center,Allegheny Center
750,003,61000,562700,2,2006,Block 2006,420035627002006,Allegheny Center,Allegheny Center
750,003,61000,562700,2,2007,Block 2007,420035627002007,Allegheny Center,Allegheny Center
750,003,61000,562700,2,2008,Block 2008,420035627002008,Allegheny Center,Allegheny Center
750,003,61000,562700,2,2009,Block 2009,420035627002009,Allegheny Center,Allegheny Center
750,003,61000,562700,2,2010,Block 2010,420035627002010,Allegheny Center,Allegheny Center
750,003,61000,562700,1,1000,Block 1000,420035627001000,Allegheny West,Allegheny West
750,003,61000,562700,1,1001,Block 1001,420035627001001,Allegheny West,Allegheny West
750,003,61000,562700,1,1002,Block 1002,420035627001002,Allegheny West,Allegheny West
750,003,61000,562700,1,1003,Block 1003,420035627001003,Allegheny West,Allegheny West
750,003,61000,562700,1,1004,Block 1004,420035627001004,Allegheny West,Allegheny West
750,003,61000,562700,1,1005,Block 1005,420035627001005,Allegheny West,Allegheny West
750,003,61000,562700,1,1006,Block 1006,420035627001006,Allegheny West,Allegheny West
750,003,61000,562700,1,1007,Block 1007,420035627001007,Allegheny West,Allegheny West
750,003,61000,562700,1,1008,Block 1008,420035627001008,Allegheny West,Allegheny West
750,003,61000,562700,1,1009,Block 1009,420035627001009,Allegheny West,Allegheny West
750,003,61000,562700,1,1010,Block 1010,420035627001010,Allegheny West,Allegheny West
750,003,61000,562700,1,1011,Block 1011,420035627001011,Allegheny West,Allegheny West
750,003,61000,562700,1,1012,Block 1012,420035627001012,Allegheny West,Allegheny West
750,003,61000,562700,1,1013,Block 1013,420035627001013,Allegheny West,Allegheny West
750,003,61000,562700,1,1014,Block 1014,420035627001014,Allegheny West,Allegheny West
750,003,61000,562700,1,1015,Block 1015,420035627001015,Allegheny West,Allegheny West
750,003,61000,562700,1,1016,Block 1016,420035627001016,Allegheny West,Allegheny West
750,003,61000,562700,1,1017,Block 1017,420035627001017,Allegheny West,Allegheny West
750,003,61000,562700,1,1018,Block 1018,420035627001018,Allegheny West,Allegheny West
750,003,61000,562700,1,1019,Block 1019,420035627001019,Allegheny West,Allegheny West
750,003,61000,562700,1,1020,Block 1020,420035627001020,Allegheny West,Allegheny West
750,003,61000,562700,1,1021,Block 1021,420035627001021,Allegheny West,Allegheny West
750,003,61000,562700,1,1022,Block 1022,420035627001022,Allegheny West,Allegheny West
750,003,61000,562700,1,1023,Block 1023,420035627001023,Allegheny West,Allegheny West
750,003,61000,562700,1,1024,Block 1024,420035627001024,Allegheny West,Allegheny West
750,003,61000,180300,1,1000,Block 1000,420031803001000,Allentown,Allentown
750,003,61000,180300,1,1001,Block 1001,420031803001001,Allentown,Allentown
750,003,61000,180300,1,1002,Block 1002,420031803001002,Allentown,Allentown
750,003,61000,180300,1,1003,Block 1003,420031803001003,Allentown,Allentown
750,003,61000,180300,1,1004,Block 1004,420031803001004,Allentown,Allentown
750,003,61000,180300,1,1005,Block 1005,420031803001005,Allentown,Allentown
750,003,61000,180300,1,1006,Block 1006,420031803001006,Allentown,Allentown
750,003,61000,180300,1,1007,Block 1007,420031803001007,Allentown,Allentown
750,003,61000,180300,1,1008,Block 1008,420031803001008,Allentown,Allentown
750,003,61000,180300,1,1009,Block 1009,420031803001009,Allentown,Allentown
750,003,61000,180300,1,1010,Block 1010,420031803001010,Allentown,Allentown
750,003,61000,180300,1,1011,Block 1011,420031803001011,Allentown,Allentown
750,003,61000,180300,1,1012,Block 1012,420031803001012,Allentown,Allentown
750,003,61000,180300,1,1013,Block 1013,420031803001013,Allentown,Allentown
750,003,61000,180300,1,1014,Block 1014,420031803001014,Allentown,Allentown
750,003,61000,180300,1,1015,Block 1015,420031803001015,Allentown,Allentown
750,003,61000,180300,1,1016,Block 1016,420031803001016,Allentown,Allentown
750,003,61000,180300,1,1017,Block 1017,420031803001017,Allentown,Allentown
